"","x"
"1994-01-03",163.48
"1994-01-10",162.04
"1994-01-17",164.62
"1994-01-24",164.05
"1994-01-31",163.54
"1994-02-07",160.25
"1994-02-14",159
"1994-02-21",158.38
"1994-02-28",157.52
"1994-03-07",156.3
"1994-03-14",156.39
"1994-03-21",153.16
"1994-03-28",152.56
"1994-04-11",160.73
"1994-04-18",161.92
"1994-04-25",162.69
"1994-05-02",164.16
"1994-05-09",162.46
"1994-05-16",161.61
"1994-05-23",161.24
"1994-05-30",162.38
"1994-06-06",161.44
"1994-06-13",161.1
"1994-06-20",160.28
"1994-06-27",160.16
"1994-07-04",162.52
"1994-07-11",161.47
"1994-07-18",161.01
"1994-07-25",161.47
"1994-08-01",162.43
"1994-08-08",165.18
"1994-08-22",165.55
"1994-08-29",165.55
"1994-09-05",164.76
"1994-09-12",163.74
"1994-09-19",164.16
"1994-09-26",163.06
"1994-10-03",161.7
"1994-10-10",160.62
"1994-10-17",159.51
"1994-10-24",159.17
"1994-11-07",156.82
"1994-11-14",155.28
"1994-11-21",152.56
"1994-11-28",151.23
"1994-12-05",150.24
"1994-12-12",148.17
"1994-12-19",147.29
"1995-01-02",145.44
"1995-01-09",143.06
"1995-01-16",148.47
"1995-01-23",147.79
"1995-01-30",144.79
"1995-02-06",141.64
"1995-02-13",142.54
"1995-02-20",141.78
"1995-02-27",146.01
"1995-03-06",146.52
"1995-03-13",145.1
"1995-03-20",142.86
"1995-03-27",142.97
"1995-04-03",154.26
"1995-04-10",155.93
"1995-04-24",155.42
"1995-05-02",154.26
"1995-05-08",154.37
"1995-05-15",155.23
"1995-05-22",154.91
"1995-05-29",154.54
"1995-06-06",155.03
"1995-06-12",153.38
"1995-06-19",153.04
"1995-06-26",154.83
"1995-07-03",153.18
"1995-07-10",156.62
"1995-07-17",155.4
"1995-07-24",152.84
"1995-07-31",152.22
"1995-08-07",151.45
"1995-08-21",149.58
"1995-08-28",149.58
"1995-09-04",148.47
"1995-09-11",139.37
"1995-09-18",139.48
"1995-09-25",138.54
"1995-10-02",137.95
"1995-10-09",136.1
"1995-10-16",135.51
"1995-10-23",132.98
"1995-10-30",131.88
"1995-11-06",130.8
"1995-11-13",129.72
"1995-11-20",129.15
"1995-11-27",137.75
"1995-12-04",135.47
"1995-12-11",140.38
"1995-12-18",135.75
"1996-01-08",145.34
"1996-01-15",148.38
"1996-01-22",138.11
"1996-01-29",134.11
"1996-02-05",129.11
"1996-02-12",128.26
"1996-02-19",128.21
"1996-02-26",126.76
"1996-03-04",126.39
"1996-03-11",125.57
"1996-03-18",124.94
"1996-03-25",124.06
"1996-04-01",124.29
"1996-04-15",132.55
"1996-04-22",133.03
"1996-04-29",127.67
"1996-05-06",127.1
"1996-05-13",131.07
"1996-05-20",130.93
"1996-05-28",127.5
"1996-06-03",126.05
"1996-06-10",124.45
