"","x"
"1994-01-03",151.18
"1994-01-10",149.74
"1994-01-17",151.95
"1994-01-24",151.15
"1994-01-31",150.67
"1994-02-07",147.5
"1994-02-14",148.91
"1994-02-21",147.58
"1994-02-28",143.78
"1994-03-07",146.93
"1994-03-14",144.54
"1994-03-21",144.77
"1994-03-28",143.98
"1994-04-11",149.57
"1994-04-18",152.43
"1994-04-25",153
"1994-05-02",154.7
"1994-05-09",153.14
"1994-05-16",152.32
"1994-05-23",152.46
"1994-05-30",157.57
"1994-06-06",157.74
"1994-06-13",158.76
"1994-06-20",157.45
"1994-06-27",156.2
"1994-07-04",155.13
"1994-07-11",154.7
"1994-07-18",154.87
"1994-07-25",157.03
"1994-08-01",164.06
"1994-08-08",163.69
"1994-08-22",166.16
"1994-08-29",166.16
"1994-09-05",165.51
"1994-09-12",164.6
"1994-09-19",163.47
"1994-09-26",161.76
"1994-10-03",160.03
"1994-10-10",157.99
"1994-10-17",157.93
"1994-10-24",155.3
"1994-11-07",153
"1994-11-14",150.76
"1994-11-21",149.03
"1994-11-28",147.21
"1994-12-05",146.3
"1994-12-12",145.1
"1994-12-19",144.37
"1995-01-02",142.15
"1995-01-09",139.74
"1995-01-16",145.07
"1995-01-23",142.15
"1995-01-30",139.79
"1995-02-06",141.67
"1995-02-13",138.63
"1995-02-20",136.45
"1995-02-27",141.32
"1995-03-06",146.63
"1995-03-13",141.15
"1995-03-20",140.45
"1995-03-27",140.67
"1995-04-03",149.44
"1995-04-10",150.83
"1995-04-24",151.79
"1995-05-02",149.89
"1995-05-08",148.5
"1995-05-15",150.66
"1995-05-22",150.86
"1995-05-29",150.57
"1995-06-06",152.08
"1995-06-12",150.89
"1995-06-19",150.66
"1995-06-26",154.8
"1995-07-03",154.03
"1995-07-10",156.33
"1995-07-17",153.61
"1995-07-24",152.3
"1995-07-31",151.57
"1995-08-07",151.06
"1995-08-21",149.35
"1995-08-28",149.35
"1995-09-04",148.22
"1995-09-11",139.08
"1995-09-18",139.71
"1995-09-25",138.09
"1995-10-02",137.47
"1995-10-09",135.31
"1995-10-16",134.46
"1995-10-23",131.91
"1995-10-30",128.93
