"","x"
"1994-01-03",114.47
"1994-01-10",110.97
"1994-01-17",111.47
"1994-01-24",111.5
"1994-01-31",111.03
"1994-02-07",110.57
"1994-02-14",111.07
"1994-02-21",111.1
"1994-02-28",110.4
"1994-03-07",110.17
"1994-03-14",108.47
"1994-03-21",108.33
"1994-03-28",107.43
"1994-04-11",107.67
"1994-04-18",109.47
"1994-04-25",102.92
"1994-05-02",112.17
"1994-05-09",110.63
"1994-05-16",112.67
"1994-05-23",115.57
"1994-05-30",113.5
"1994-06-06",110.53
"1994-06-13",109.33
"1994-06-20",109.33
"1994-06-27",107.73
"1994-07-04",109.33
"1994-07-11",108.5
"1994-07-18",106.6
"1994-07-25",106.8
"1994-08-01",105.4
"1994-08-08",105
"1994-08-22",105.57
"1994-08-29",105.57
"1994-09-05",103.9
"1994-09-12",105.57
"1994-09-19",105.23
"1994-09-26",103.1
"1994-10-03",104.27
"1994-10-10",104.93
"1994-10-17",106.03
"1994-10-24",107.8
"1994-11-07",106.5
"1994-11-14",112.97
"1994-11-21",117.37
"1994-11-28",118.43
"1994-12-05",117.03
"1994-12-12",114.47
"1994-12-19",109.47
"1995-01-02",113.6
"1995-01-09",110.43
"1995-01-16",110.93
"1995-01-23",110.93
"1995-01-30",112.4
"1995-02-06",107.95
"1995-02-13",106.56
"1995-02-20",108.88
"1995-02-27",110.64
"1995-03-06",106.84
"1995-03-13",108.14
"1995-03-20",106.93
"1995-03-27",106.01
"1995-04-03",107.4
"1995-04-10",105.36
"1995-04-24",107.58
"1995-05-02",108.41
"1995-05-08",107.58
"1995-05-15",107.49
"1995-05-22",107.03
"1995-05-29",106.56
"1995-06-06",107.12
"1995-06-12",108.32
"1995-06-19",104.62
"1995-06-26",103.79
"1995-07-03",101.01
"1995-07-10",101.66
"1995-07-17",102.12
"1995-07-24",100.64
"1995-07-31",98.97
"1995-08-07",100.27
"1995-08-21",99.06
"1995-08-28",99.06
"1995-09-04",101.56
"1995-09-11",102.21
"1995-09-18",105.73
"1995-09-25",107.03
"1995-10-02",108.88
"1995-10-09",108.41
"1995-10-16",104.8
"1995-10-23",103.32
"1995-10-30",104.25
"1995-11-06",105.45
"1995-11-13",106.1
"1995-11-20",108.32
"1995-11-27",108.88
"1995-12-04",109.39
"1995-12-11",110.96
"1995-12-18",115.03
"1996-01-08",114.94
"1996-01-15",126.24
"1996-01-22",124.2
"1996-01-29",119.11
"1996-02-05",117.81
"1996-02-12",116.33
"1996-02-19",118.27
"1996-02-26",122.81
"1996-03-04",130.13
"1996-03-11",130.13
"1996-03-18",127.44
"1996-03-25",114.76
"1996-04-01",129.29
"1996-04-15",134.01
"1996-04-22",132.81
"1996-04-29",132.72
"1996-05-06",132.26
"1996-05-13",125.77
"1996-05-20",121.79
"1996-05-28",120.68
"1996-06-03",122.16
"1996-06-10",121.05
"1996-06-17",116.98
"1996-06-24",114.57
"1996-07-01",116.24
"1996-07-08",115.87
"1996-07-15",116.61
"1996-07-22",118.46
"1996-07-29",119.01
"1996-08-05",119.48
"1996-08-19",122.63
"1996-08-26",116.98
"1996-09-02",119.2
"1996-09-09",122.26
"1996-09-16",127.81
"1996-09-23",135.4
"1996-09-30",135.4
"1996-10-07",144.39
"1996-10-14",147.72
"1996-10-21",150.96
"1996-10-28",153.46
"1996-11-04",152.63
"1996-11-11",146.05
"1996-11-18",139.57
"1996-11-25",139.11
"1996-12-02",141.02
"1996-12-09",126.85
"1996-12-16",141.85
"1997-01-06",141.57
"1997-01-13",139.35
"1997-01-20",143.43
"1997-01-27",145.93
"1997-02-03",143.43
"1997-02-10",141.02
"1997-02-17",138.61
"1997-02-24",135.56
"1997-03-03",131.2
"1997-03-10",125
"1997-03-17",119.26
"1997-03-24",116.85
"1997-04-07",122.31
"1997-04-14",120
"1997-04-21",117.5
"1997-04-28",115.37
"1997-05-05",115.37
"1997-05-12",116.3
"1997-05-19",117.87
"1997-05-26",117.87
"1997-06-02",120.65
"1997-06-09",118.15
"1997-06-16",118.15
"1997-06-23",114.44
"1997-06-30",115
"1997-07-07",112.63
"1997-07-14",112.44
"1997-07-28",107.07
"1997-08-04",106.79
"1997-08-11",108.55
"1997-08-18",113.55
"1997-08-25",113.55
"1997-09-01",112.72
"1997-09-08",110.87
"1997-09-15",109.76
"1997-09-22",109.48
"1997-09-29",108.55
"1997-10-06",109.2
"1997-10-13",111.89
"1997-10-20",117.63
"1997-10-27",121.91
"1997-11-03",121.72
"1997-11-10",119.34
"1997-11-17",118.96
"1997-11-24",119.53
"1997-12-01",116.58
"1997-12-08",113.34
"1997-12-15",117.63
"1998-01-05",114.2
"1998-01-12",110.01
