"","x"
"1994-01-03",NA
"1994-01-10",NA
"1994-01-17",50.67
"1994-01-24",52.35
"1994-01-31",53.82
"1994-02-07",58.62
"1994-02-14",61.57
"1994-02-21",60.09
"1994-02-28",62.81
"1994-03-07",63.04
"1994-03-14",63.34
"1994-03-21",62.91
"1994-03-28",63.41
"1994-04-11",61.13
"1994-04-18",61.23
"1994-04-25",61.4
"1994-05-02",62.61
"1994-05-09",63.45
"1994-05-16",64.15
"1994-05-23",65.26
"1994-05-30",65.36
"1994-06-06",64.52
"1994-06-13",66.83
"1994-06-20",66.33
"1994-06-27",64.92
"1994-07-04",66.4
"1994-07-11",67.27
"1994-07-18",69.01
"1994-07-25",71.53
"1994-08-01",71.83
"1994-08-08",73.57
"1994-08-22",67.67
"1994-08-29",67.67
"1994-09-05",67.47
"1994-09-12",63.31
"1994-09-19",63.31
"1994-09-26",62.07
"1994-10-03",63.31
"1994-10-10",64.55
"1994-10-17",64.12
"1994-10-24",66.4
"1994-11-07",69.72
"1994-11-14",70.89
"1994-11-21",72.2
"1994-11-28",71.49
"1994-12-05",74.24
"1994-12-12",72.7
"1994-12-19",72.7
"1995-01-02",72.36
"1995-01-09",72.8
"1995-01-16",77.93
"1995-01-23",77.83
"1995-01-30",76.96
"1995-02-06",74.95
"1995-02-13",75.11
"1995-02-20",75.89
"1995-02-27",76.46
"1995-03-06",77.39
"1995-03-13",77.83
"1995-03-20",77.83
"1995-03-27",76.42
"1995-04-03",76.42
"1995-04-10",75.08
"1995-04-24",76.52
"1995-05-02",76.46
"1995-05-08",76.52
"1995-05-15",75.99
"1995-05-22",79.31
"1995-05-29",79.37
"1995-06-06",77.73
"1995-06-12",77.73
"1995-06-19",73.27
"1995-06-26",70.55
"1995-07-03",69.98
"1995-07-10",67.1
"1995-07-17",65.49
"1995-07-24",66.3
"1995-07-31",66.83
"1995-08-07",65.52
"1995-08-21",65.66
"1995-08-28",65.69
"1995-09-04",67.03
"1995-09-11",67.44
"1995-09-18",66.7
"1995-09-25",66.87
"1995-10-02",67.3
"1995-10-09",67.37
"1995-10-16",66.06
"1995-10-23",66.53
"1995-10-30",67.8
"1995-11-06",66.53
"1995-11-13",68.51
"1995-11-20",67.84
"1995-11-27",68.04
"1995-12-04",69.21
"1995-12-11",70.12
"1995-12-18",71.53
"1996-01-08",78.94
"1996-01-15",77.83
"1996-01-22",76.12
"1996-01-29",76.32
"1996-02-05",75.52
"1996-02-12",74.31
"1996-02-19",74.44
"1996-02-26",75.18
"1996-03-04",75.48
"1996-03-11",76.32
"1996-03-18",77.5
"1996-03-25",78.17
"1996-04-01",77.43
"1996-04-15",80.28
"1996-04-22",82.02
"1996-04-29",82.76
"1996-05-06",81.75
"1996-05-13",80.41
"1996-05-20",81.32
"1996-05-28",79.27
"1996-06-03",75.92
"1996-06-10",69.75
"1996-06-17",67.57
"1996-06-24",69.05
"1996-07-01",65.09
"1996-07-08",66.9
"1996-07-15",68.31
"1996-07-22",69.15
"1996-07-29",68.14
"1996-08-05",69.65
"1996-08-19",69.11
"1996-08-26",69.01
"1996-09-02",73.34
"1996-09-09",74.68
"1996-09-16",75.82
"1996-09-23",76.32
"1996-09-30",76.02
"1996-10-07",79.44
"1996-10-14",81.55
"1996-10-21",79.61
"1996-10-28",81.99
"1996-11-04",85.71
"1996-11-11",82.76
"1996-11-18",82.83
"1996-11-25",82.66
"1996-12-02",83.43
"1996-12-09",86.38
"1996-12-16",84.47
"1997-01-06",82.02
"1997-01-13",82.79
"1997-01-20",80.71
"1997-01-27",80.04
"1997-02-03",78.37
"1997-02-10",78.94
"1997-02-17",76.79
"1997-02-24",74.81
"1997-03-03",69.51
"1997-03-10",67.5
"1997-03-17",65.39
"1997-03-24",66.23
"1997-04-07",63.01
"1997-04-14",64.52
"1997-04-21",63.61
"1997-04-28",64.02
"1997-05-05",64.18
"1997-05-12",63.51
"1997-05-19",63.65
"1997-05-26",63.58
"1997-06-02",63.34
"1997-06-09",63.34
"1997-06-16",62.67
"1997-06-23",63.11
"1997-06-30",62.24
"1997-07-07",61.7
"1997-07-14",62.24
"1997-07-28",67
"1997-08-04",66.76
"1997-08-11",67.64
"1997-08-18",68.11
"1997-08-25",68.71
"1997-09-01",68.28
"1997-09-08",69.35
"1997-09-15",69.49
"1997-09-22",68.98
"1997-09-29",68.88
"1997-10-06",71.07
"1997-10-13",71.34
"1997-10-20",72.05
"1997-10-27",72.99
"1997-11-03",73.09
"1997-11-10",72.52
"1997-11-17",73.43
"1997-11-24",74.37
"1997-12-01",71.81
"1997-12-08",70.23
"1997-12-15",69.49
"1998-01-05",67.13
"1998-01-12",65.25
"1998-01-19",63.46
"1998-01-26",65.18
"1998-02-02",60.7
"1998-02-09",62.05
"1998-02-16",61.37
"1998-02-23",59.39
"1998-03-02",60.7
"1998-03-09",57.5
"1998-03-16",61.04
"1998-03-23",57.64
"1998-03-30",57.44
"1998-04-06",57.67
"1998-04-20",58.04
"1998-04-27",58.48
"1998-05-04",58.24
"1998-05-11",57.5
"1998-05-18",57.3
"1998-05-25",57.07
"1998-06-01",55.82
"1998-06-08",53.6
"1998-06-15",54.98
"1998-06-22",54.3
"1998-06-29",55.31
"1998-07-06",54.07
"1998-07-13",54.94
"1998-07-20",54.78
"1998-07-27",52.76
"1998-08-03",53.63
"1998-08-10",53.63
"1998-08-17",53.9
"1998-08-24",53.7
"1998-08-31",53.46
"1998-09-07",53.06
"1998-09-14",53.23
"1998-09-21",52.69
"1998-09-28",55.18
"1998-10-05",54.94
"1998-10-12",54.94
"1998-10-19",54.84
"1998-10-26",53.93
"1998-11-02",52.49
"1998-11-09",52.71
"1998-11-16",54.25
"1998-11-23",53.17
"1998-11-30",52.49
"1998-12-07",50.94
"1998-12-14",50.34
"1999-01-04",50.3
"1999-01-11",52.3
"1999-01-18",55.5
"1999-01-25",55.5
"1999-02-01",58.54
"1999-02-08",59.04
"1999-02-15",54.05
"1999-02-22",53.32
"1999-03-01",53.92
"1999-03-08",52.71
"1999-03-15",50.22
"1999-03-22",53.26
"1999-03-29",52.93
"1999-04-12",56.05
"1999-04-19",56.61
"1999-04-26",56.48
"1999-05-03",58.53
"1999-05-10",58.14
"1999-05-17",57.05
"1999-05-24",56.21
"1999-05-31",55.56
"1999-06-07",54.3
"1999-06-14",54.2
"1999-06-21",58.3
"1999-06-28",58.47
"1999-07-05",60.3
"1999-07-12",61.18
"1999-07-19",62.33
"1999-07-26",65.34
"1999-08-02",67.1
"1999-08-09",70.88
"1999-08-16",74.28
"1999-08-23",76.69
"1999-08-30",76.99
"1999-09-06",77.74
"1999-09-13",78
"1999-09-20",77.43
"1999-09-27",82.74
"1999-10-04",82.85
"1999-10-11",82.5
"1999-10-18",84.71
"1999-10-25",84.71
"1999-11-02",84.6
"1999-11-08",85.13
"1999-11-15",84.73
"1999-11-22",86.62
"1999-11-29",87.51
"1999-12-06",87.86
"1999-12-13",87.54
"2000-01-03",88.74
"2000-01-10",90.1143549969344
"2000-01-17",90.064319435929
"2000-01-24",89.3389895769467
"2000-01-31",89.786894543225
"2000-02-07",90.3153022685469
"2000-02-14",90.5475217657878
"2000-02-21",90.4771128142244
"2000-02-28",91.5902182709994
"2000-03-06",94.5725977927652
"2000-03-13",99.9732801961986
"2000-03-20",101.065393010423
"2000-03-27",99.758709380748
"2000-04-03",98.232191293685
"2000-04-10",96.5991618638872
"2000-04-17",94.0571943592888
"2000-04-24",92.8978927038627
"2000-05-01",91.6197565910484
"2000-05-08",90.1796241569589
"2000-05-15",90.1796241569589
"2000-05-22",95.7501673819743
"2000-05-29",93.3184267320662
"2000-06-05",92.6393549969344
"2000-06-12",94.2609282648682
"2000-06-19",94.2609282648682
"2000-06-26",96.801347639485
"2000-07-03",97.1715364806867
"2000-07-10",96.7020815450644
"2000-07-17",104.760345800123
"2000-07-24",96.2076707541386
"2000-07-31",96.2633672
"2000-08-07",92.8727176
"2000-08-14",93.9746808
"2000-08-21",93.2082008
"2000-08-28",95.7135608
"2000-09-04",94.86048
"2000-09-11",105.178424
"2000-09-18",102.397204
"2000-09-25",108.957108
"2000-10-02",108.0020656
"2000-10-09",112.8522824
"2000-10-16",113.060012
"2000-10-23",110.5249496
"2000-11-06",117.9205872
"2000-11-13",112.49
"2000-11-20",108.9203856
"2000-11-27",109.9550504
"2000-12-04",109.9550504
"2000-12-11",111.6426792
"2000-12-18",108.493164
"2001-01-08",103.7260536
"2001-01-15",91.1083368
"2001-01-22",90.7063248
"2001-01-29",93.1795592
"2001-02-05",97.405896
"2001-02-12",92.44164384
"2001-02-20",92.37694032
"2001-02-27",91.51444512
"2001-03-05",93.02375376
"2001-03-12",92.9515608
"2001-03-19",92.00004912
"2001-03-26",91.30659552
"2001-04-02",92.58921504
"2001-04-09",91.6392456
"2001-04-23",92.34730512
"2001-04-30",93.1873824
"2001-05-07",94.99
"2001-05-14",94.75
"2001-05-21",94.56655824
"2001-05-28",95.59
"2001-06-04",97.17134112
"2001-06-11",98.56429632
"2001-06-18",98.56429632
"2001-06-25",100.00546416
"2001-07-02",96.89911056
"2001-07-09",96.43871664
"2001-07-16",100.29673584
"2001-07-23",100.5069744
"2001-07-30",100.46497104
"2001-08-06",100.9502928
"2001-08-13",99.16192944
"2001-08-20",99.58022928
"2001-08-27",99.26035056
"2001-09-03",99.79713072
"2001-09-10",100.90983168
"2001-09-17",109.31209632
"2001-09-24",109.75176576
"2001-10-01",101.489472
"2001-10-08",97.71081264
"2001-10-15",97.02849744
"2001-10-22",94.36256928
"2001-10-29",90.5565024
"2001-11-05",82.07829504
"2001-11-12",88.51989888
"2001-11-19",88.51989888
"2001-11-26",88.31366208
"2001-12-03",88.31366208
"2001-12-10",87.8853528
"2001-12-17",87.55352928
"2002-01-07",87.25765104
"2002-01-14",88.18757136
"2002-01-21",86.1169176
"2002-01-28",87.0101064
"2002-02-04",87.0374232
"2002-02-11",86.51999664
"2002-02-18",85.84553376
"2002-02-25",87.12808272
"2002-03-04",90.32255568
"2002-03-11",92.04387696
"2002-03-18",94.94018352
"2002-03-25",97.829676
"2002-04-08",100.5934104
"2002-04-15",101.3876136
"2002-04-22",102.73055184
"2002-04-29",101.781288
"2002-05-06",105.28889616
"2002-05-13",108.82467792
"2002-05-20",110.14524864
"2002-05-27",109.2765744
"2002-06-03",109.48110768
"2002-06-10",107.83821888
"2002-06-17",106.99872624
"2002-06-24",107.3431296
"2002-07-01",105.95979072
"2002-07-08",107.15259744
"2002-07-15",109.49091552
"2002-07-22",109.67550048
"2002-07-29",109.01410128
"2002-08-05",107.02877472
"2002-08-12",106.49224656
"2002-08-19",108.61612272
"2002-08-26",115.8712632
"2002-09-02",115.96128768
"2002-09-09",120.41196048
"2002-09-16",121.18214304
"2002-09-23",123.54687072
"2002-09-30",127.96155792
"2002-10-07",126.85953168
"2002-10-14",126.19789056
"2002-10-21",120.53031984
"2002-10-28",NA
"2002-11-04",NA
"2002-11-11",NA
"2002-11-18",NA
"2002-11-25",NA
"2002-12-02",NA
"2002-12-09",NA
"2002-12-16",NA
"2003-01-06",NA
"2003-01-13",NA
"2003-01-20",NA
"2003-01-27",NA
"2003-02-03",NA
"2003-02-10",NA
"2003-02-17",NA
"2003-02-24",NA
"2003-03-03",NA
"2003-03-10",NA
"2003-03-17",NA
"2003-03-24",NA
"2003-03-31",NA
"2003-04-07",NA
"2003-04-14",NA
"2003-04-28",NA
"2003-05-05",NA
"2003-05-12",NA
"2003-05-19",NA
"2003-05-26",NA
"2003-06-02",NA
"2003-06-09",NA
"2003-06-16",NA
"2003-06-23",NA
"2003-06-30",NA
"2003-07-07",NA
"2003-07-14",NA
"2003-07-21",NA
"2003-07-28",NA
"2003-08-04",NA
"2003-08-18",NA
"2003-08-25",NA
"2003-09-01",NA
"2003-09-08",NA
"2003-09-15",NA
"2003-09-22",NA
"2003-09-29",NA
"2003-10-06",NA
"2003-10-13",NA
"2003-10-20",NA
"2003-10-27",NA
"2003-11-03",NA
"2003-11-10",NA
"2003-11-17",NA
"2003-11-24",NA
"2003-12-01",NA
"2003-12-08",NA
"2003-12-15",NA
"2004-01-05",NA
"2004-01-12",NA
"2004-01-19",NA
"2004-01-26",NA
"2004-02-02",NA
"2004-02-09",NA
"2004-02-16",NA
"2004-02-23",NA
"2004-03-01",NA
"2004-03-08",NA
"2004-03-15",NA
"2004-03-22",NA
"2004-03-29",NA
"2004-04-05",NA
"2004-04-13",NA
"2004-04-19",NA
"2004-04-26",NA
"2004-05-03",NA
"2004-05-10",NA
"2004-05-17",NA
"2004-05-24",NA
"2004-05-31",NA
"2004-06-07",NA
"2004-06-14",NA
"2004-06-21",NA
"2004-06-28",NA
"2004-07-05",NA
"2004-07-12",NA
"2004-07-19",NA
"2004-07-26",NA
"2004-08-02",NA
"2004-08-09",NA
"2004-08-16",NA
"2004-08-23",NA
"2004-08-30",NA
"2004-09-06",NA
"2004-09-13",NA
"2004-09-20",NA
"2004-09-27",NA
"2004-10-04",NA
"2004-10-11",NA
"2004-10-18",NA
"2004-10-25",NA
"2004-11-01",NA
"2004-11-08",NA
"2004-11-15",NA
"2004-11-22",NA
"2004-11-29",NA
"2004-12-06",NA
"2004-12-13",NA
"2004-12-20",NA
"2005-01-03",NA
"2005-01-10",NA
"2005-01-17",NA
"2005-01-24",NA
"2005-01-31",NA
"2005-02-07",NA
"2005-02-14",NA
"2005-02-21",NA
"2005-02-28",NA
"2005-03-07",NA
"2005-03-14",NA
"2005-03-21",NA
"2005-04-04",NA
"2005-04-11",NA
"2005-04-18",NA
"2005-04-25",NA
"2005-05-02",NA
"2005-05-09",NA
"2005-05-16",NA
"2005-05-23",NA
"2005-05-30",NA
"2005-06-06",NA
"2005-06-13",NA
"2005-06-20",NA
"2005-06-27",NA
"2005-07-04",NA
"2005-07-11",NA
"2005-07-18",NA
"2005-07-25",NA
"2005-08-01",NA
"2005-08-08",NA
"2005-08-22",NA
"2005-08-29",NA
"2005-09-05",NA
"2005-09-12",NA
"2005-09-19",NA
"2005-09-26",NA
"2005-10-03",NA
"2005-10-10",NA
"2005-10-17",NA
"2005-10-24",NA
"2005-11-07",NA
"2005-11-14",NA
"2005-11-21",NA
"2005-11-28",NA
"2005-12-05",NA
"2005-12-12",NA
"2005-12-19",NA
