"","x"
"1994-01-03",144.86
"1994-01-10",143.66
"1994-01-17",142.81
"1994-01-24",141.93
"1994-01-31",141.76
"1994-02-07",141.17
"1994-02-14",145.28
"1994-02-21",144.23
"1994-02-28",143.18
"1994-03-07",142.08
"1994-03-14",143.95
"1994-03-21",141.34
"1994-03-28",140.54
"1994-04-11",146.19
"1994-04-18",149.08
"1994-04-25",150.64
"1994-05-02",149.34
"1994-05-09",150.87
"1994-05-16",150.87
"1994-05-23",150.13
"1994-05-30",154.39
"1994-06-06",156.8
"1994-06-13",155.27
"1994-06-20",154.22
"1994-06-27",154.02
"1994-07-04",153.79
"1994-07-11",153.39
"1994-07-18",153.28
"1994-07-25",153.71
"1994-08-01",162.87
"1994-08-08",163.44
"1994-08-22",163.55
"1994-08-29",163.55
"1994-09-05",163.21
"1994-09-12",161.82
"1994-09-19",160.88
"1994-09-26",159.66
"1994-10-03",157.45
"1994-10-10",157
"1994-10-17",155.47
"1994-10-24",153.03
"1994-11-07",150.13
"1994-11-14",149.05
"1994-11-21",147.1
"1994-11-28",145.79
"1994-12-05",145.19
"1994-12-12",144.25
"1994-12-19",143.2
"1995-01-02",141.64
"1995-01-09",140.36
"1995-01-16",145.44
"1995-01-23",142.83
"1995-01-30",139.82
"1995-02-06",141.72
"1995-02-13",138.74
"1995-02-20",136.93
"1995-02-27",142.97
"1995-03-06",146.15
"1995-03-13",142
"1995-03-20",141.66
"1995-03-27",141.86
"1995-04-03",152.47
"1995-04-10",154.71
"1995-04-24",154
"1995-05-02",151.76
"1995-05-08",150.26
"1995-05-15",151.54
"1995-05-22",151.96
"1995-05-29",151.68
"1995-06-06",153.24
"1995-06-12",152.02
"1995-06-19",151.76
"1995-06-26",156.19
"1995-07-03",155.22
"1995-07-10",158
"1995-07-17",155.08
"1995-07-24",153.78
"1995-07-31",153.41
"1995-08-07",152.73
"1995-08-21",150.69
"1995-08-28",150.69
"1995-09-04",149.12
"1995-09-11",139.51
"1995-09-18",140.59
"1995-09-25",139.45
"1995-10-02",138.86
"1995-10-09",137.3
"1995-10-16",136.22
"1995-10-23",134.2
"1995-10-30",133.24
"1995-11-06",131.71
"1995-11-13",131.25
"1995-11-20",130.34
"1995-11-27",137.89
"1995-12-04",134.47
"1995-12-11",137.82
"1995-12-18",133.93
"1996-01-08",136.97
"1996-01-15",140.26
"1996-01-22",120.43
"1996-01-29",115.72
"1996-02-05",113.93
"1996-02-12",112.83
"1996-02-19",113.14
"1996-02-26",111.95
"1996-03-04",111.81
"1996-03-11",112.09
"1996-03-18",110.96
"1996-03-25",109.82
"1996-04-01",109.91
"1996-04-15",118.33
"1996-04-22",118.84
"1996-04-29",113.48
"1996-05-06",112.91
"1996-05-13",116.06
"1996-05-20",115.92
"1996-05-28",113.76
"1996-06-03",112.54
"1996-06-10",110.81
"1996-06-17",108.97
"1996-06-24",107.93
"1996-07-01",107.64
"1996-07-08",107.47
"1996-07-15",106.22
"1996-07-22",115.72
"1996-07-29",114.81
"1996-08-05",114.53
"1996-08-19",127.98
"1996-08-26",129.45
"1996-09-02",139.38
"1996-09-09",139.04
"1996-09-16",138.16
"1996-09-23",152.91
"1996-09-30",151.15
"1996-10-07",148.77
"1996-10-14",148.6
"1996-10-21",143.75
