"","x"
"1994-07-04",146
"1994-07-11",142.75
"1994-07-18",143.75
"1994-07-25",145.5
"1994-08-01",159.25
"1994-08-08",149.25
"1994-08-22",140.25
"1994-08-29",143.5
"1994-09-05",142.5
"1994-09-12",146.5
"1994-09-19",141.25
"1994-09-26",147.5
"1994-10-03",154.5
"1994-10-10",159
"1994-10-17",146
"1994-10-24",151.5
"1994-11-07",154.5
"1994-11-14",154.75
"1994-11-21",149.5
"1994-11-28",150.5
"1994-12-05",140.25
"1994-12-12",139.75
"1994-12-19",137.75
"1995-01-02",145.5
"1995-01-09",145.5
"1995-01-16",140.5
"1995-01-23",143
"1995-01-30",142.5
"1995-02-06",144.5
"1995-02-13",142.5
"1995-02-20",142
"1995-02-27",144.5
"1995-03-06",142.5
"1995-03-13",138.5
"1995-03-20",140
"1995-03-27",146.25
"1995-04-03",147.25
"1995-04-10",152.25
"1995-04-24",156.75
"1995-05-02",152.75
"1995-05-08",155.75
"1995-05-15",147
"1995-05-22",154.75
"1995-05-29",155.5
"1995-06-06",148
"1995-06-12",147.25
"1995-06-19",143.75
"1995-06-26",138.25
"1995-07-03",141.5
"1995-07-10",141.25
"1995-07-17",141.5
"1995-07-24",142
"1995-07-31",142.75
"1995-08-07",145
"1995-08-21",149
"1995-08-28",152
"1995-09-04",155
"1995-09-11",156.5
"1995-09-18",152.5
"1995-09-25",147
"1995-10-02",146.75
"1995-10-09",145.75
"1995-10-16",143.5
"1995-10-23",144.75
"1995-10-30",150
"1995-11-06",155.5
"1995-11-13",154
"1995-11-20",158
"1995-11-27",158.25
"1995-12-04",160.5
"1995-12-11",170.25
"1995-12-18",170
"1996-01-08",181
"1996-01-15",156.25
"1996-01-22",156.25
"1996-01-29",158.5
"1996-02-05",161
"1996-02-12",176.5
"1996-02-19",184
"1996-02-26",183
"1996-03-04",163.5
"1996-03-11",177
"1996-03-18",185
"1996-03-25",191.25
"1996-04-01",183.5
"1996-04-15",191
"1996-04-22",172.5
"1996-04-29",166.75
"1996-05-06",162
"1996-05-13",171.75
"1996-05-20",160.25
"1996-05-28",163.75
"1996-06-03",157.25
"1996-06-10",155.75
"1996-06-17",160.5
"1996-06-24",155
"1996-07-01",167.5
"1996-07-08",170.5
"1996-07-15",173
"1996-07-22",175
"1996-07-29",167.5
"1996-08-05",177
"1996-08-19",184
"1996-08-26",186.5
"1996-09-02",206
"1996-09-09",217.5
"1996-09-16",222.5
"1996-09-23",224.25
"1996-09-30",240.75
"1996-10-07",256.75
"1996-10-14",258.5
"1996-10-21",253.75
"1996-10-28",240.5
"1996-11-04",218.25
"1996-11-11",219.5
"1996-11-18",223.25
"1996-11-25",227.5
"1996-12-02",226.75
"1996-12-09",226.5
"1996-12-16",223.25
"1997-01-06",231
"1997-01-13",230
"1997-01-20",221.5
"1997-01-27",208.25
"1997-02-03",209.25
"1997-02-10",190.5
"1997-02-17",189.25
"1997-02-24",176
"1997-03-03",165
"1997-03-10",171.5
"1997-03-17",174
"1997-03-24",172
"1997-04-07",164.75
"1997-04-14",168
"1997-04-21",166.5
"1997-04-28",170.75
"1997-05-05",170.5
"1997-05-12",173.25
"1997-05-19",177.75
"1997-05-26",176.75
"1997-06-02",170
"1997-06-09",158.75
"1997-06-16",157.75
"1997-06-23",157.25
"1997-06-30",161.75
"1997-07-07",158.25
"1997-07-14",156.75
"1997-07-28",162.75
"1997-08-04",168.25
"1997-08-11",165.5
"1997-08-18",164.75
"1997-08-25",161
"1997-09-01",158.5
"1997-09-08",160.75
"1997-09-15",160.75
"1997-09-22",167.75
"1997-09-29",175.5
"1997-10-06",190
"1997-10-13",184
"1997-10-20",181.5
"1997-10-27",183.25
"1997-11-03",188
"1997-11-10",185
"1997-11-17",185
"1997-11-24",180.5
"1997-12-01",170.75
"1997-12-08",171.5
"1997-12-15",161.5
"1998-01-05",146.5
"1998-01-12",134.5
"1998-01-19",138.5
"1998-01-26",134
"1998-02-02",139
"1998-02-09",136.75
"1998-02-16",133
"1998-02-23",127
"1998-03-02",127
"1998-03-09",120.75
"1998-03-16",113.25
"1998-03-23",131.25
"1998-03-30",135.5
"1998-04-06",128.75
"1998-04-20",130.5
"1998-04-27",128.25
"1998-05-04",133.75
"1998-05-11",128.25
"1998-05-18",122.25
"1998-05-25",119.5
"1998-06-01",120
"1998-06-08",118.5
"1998-06-15",109
"1998-06-22",109.5
"1998-06-29",108.5
"1998-07-06",113
"1998-07-13",111.5
"1998-07-20",111.5
"1998-07-27",109.5
"1998-08-03",108
"1998-08-10",106.75
"1998-08-17",102
"1998-08-24",100.25
"1998-08-31",99.75
"1998-09-07",119.75
"1998-09-14",127.25
"1998-09-21",133.5
"1998-09-28",129
"1998-10-05",122.75
"1998-10-12",119
"1998-10-19",115
"1998-10-26",115.5
"1998-11-02",114.5
"1998-11-09",109.5
"1998-11-16",108
"1998-11-23",103.5
"1998-11-30",94.75
"1998-12-07",94
"1998-12-14",93
"1999-01-04",98.5
"1999-01-11",111.25
"1999-01-18",93.5
"1999-01-25",94.75
"1999-02-01",98
"1999-02-08",93
"1999-02-15",94
"1999-02-22",95
"1999-03-01",97.5
"1999-03-08",108.75
"1999-03-15",113.75
"1999-03-22",123
"1999-03-29",131
"1999-04-12",132.5
"1999-04-19",134.5
"1999-04-26",131.25
"1999-05-03",135.75
"1999-05-10",129
"1999-05-17",122.75
"1999-05-24",115
"1999-05-31",113.25
"1999-06-07",117.5
"1999-06-14",131.25
"1999-06-21",129.75
"1999-06-28",133
"1999-07-05",148.25
"1999-07-12",155.5
"1999-07-19",158.75
"1999-07-26",157.5
"1999-08-02",157.25
"1999-08-09",165
"1999-08-16",166.75
"1999-08-23",176.25
"1999-08-30",168
"1999-09-06",174.5
"1999-09-13",183.5
"1999-09-20",184.5
"1999-09-27",189.75
"1999-10-04",190.25
"1999-10-11",168.25
"1999-10-18",182.5
"1999-10-25",187.5
"1999-11-02",186
"1999-11-08",198.75
"1999-11-15",220.5
"1999-11-22",238
"1999-11-29",233
"1999-12-06",236.5
"1999-12-13",239.75
"2000-01-03",265.25
"2000-01-10",223
"2000-01-17",222.5
"2000-01-24",239.25
"2000-01-31",215.5
"2000-02-07",240
"2000-02-14",241.5
"2000-02-21",227.5
"2000-02-28",236.25
"2000-03-06",253.5
"2000-03-13",239
"2000-03-20",230.5
"2000-03-27",242
"2000-04-03",232.75
"2000-04-10",223.25
"2000-04-17",225.5
"2000-04-24",238.5
"2000-05-01",221.5
"2000-05-08",213
"2000-05-15",230.5
"2000-05-22",234
"2000-05-29",245.25
"2000-06-05",245.5
"2000-06-12",252.5
"2000-06-19",242.25
"2000-06-26",261.5
"2000-07-03",265.25
"2000-07-10",245
"2000-07-17",253.5
"2000-07-24",256.875
"2000-07-31",251.25
"2000-08-07",253.625
"2000-08-14",268
"2000-08-21",288.25
"2000-08-28",302.75
"2000-09-04",316
"2000-09-11",332.75
"2000-09-18",337.25
"2000-09-25",315.875
"2000-10-02",316.25
"2000-10-09",317
"2000-10-16",337
"2000-10-23",323.5
"2000-11-06",288.5
"2000-11-13",317.75
"2000-11-20",352.5
"2000-11-27",326.75
"2000-12-04",305.5
"2000-12-11",279.5
"2000-12-18",265.75
"2001-01-08",231.875
"2001-01-15",225.25
"2001-01-22",229.5
"2001-01-29",238.5
"2001-02-05",239.25
"2001-02-12",251
"2001-02-20",242.75
"2001-02-27",234
"2001-03-05",242.75
"2001-03-12",231.5
"2001-03-19",221.375
"2001-03-26",231
"2001-04-02",221.5
"2001-04-09",223.75
"2001-04-23",243.75
"2001-04-30",241.25
"2001-05-07",239.125
"2001-05-14",228.25
"2001-05-21",247.875
"2001-05-28",237.75
"2001-06-04",234.5
"2001-06-11",243.25
"2001-06-18",244
"2001-06-25",235
"2001-07-02",230.625
"2001-07-09",225
"2001-07-16",212.75
"2001-07-23",224.25
"2001-07-30",224.25
"2001-08-06",226
"2001-08-13",229
"2001-08-20",215.75
"2001-08-27",222.75
"2001-09-03",226.25
"2001-09-10",238
"2001-09-17",271.5
"2001-09-24",220.75
"2001-10-01",224.25
"2001-10-08",221.5
"2001-10-15",232.5
"2001-10-22",214.75
"2001-10-29",199.5
"2001-11-05",180.125
"2001-11-12",189.75
"2001-11-19",163.25
"2001-11-26",171.75
"2001-12-03",182.625
"2001-12-10",171.25
"2001-12-17",172.75
"2002-01-07",178.75
"2002-01-14",165
"2002-01-21",163.25
"2002-01-28",172.25
"2002-02-04",175.5
"2002-02-11",171.25
"2002-02-18",170.25
"2002-02-25",165.25
"2002-03-04",182.25
"2002-03-11",199.25
"2002-03-18",204.5
"2002-03-25",201.75
"2002-04-08",216.5
"2002-04-15",191.75
"2002-04-22",207.5
"2002-04-29",212.25
"2002-05-06",207
"2002-05-13",215.25
"2002-05-20",220.25
"2002-05-27",211.75
"2002-06-03",203.75
"2002-06-10",199.5
"2002-06-17",213
"2002-06-24",209
"2002-07-01",214
"2002-07-08",209.75
"2002-07-15",222.75
"2002-07-22",214.75
"2002-07-29",211.5
"2002-08-05",212.25
"2002-08-12",213.75
"2002-08-19",229.5
"2002-08-26",232.5
"2002-09-02",235
"2002-09-09",239.75
"2002-09-16",242.25
"2002-09-23",249.75
"2002-09-30",256.75
"2002-10-07",256.75
"2002-10-14",254.25
"2002-10-21",249.25
"2002-10-28",233.75
"2002-11-04",232
"2002-11-11",223.5
"2002-11-18",224
"2002-11-25",244.75
"2002-12-02",252.25
"2002-12-09",244.25
"2002-12-16",262
"2003-01-06",278.5
"2003-01-13",265
"2003-01-20",273.5
"2003-01-27",278
"2003-02-03",285
"2003-02-10",330.75
"2003-02-17",314.75
