"","x"
"1994-01-03",133.5
"1994-01-10",138
"1994-01-17",139.25
"1994-01-24",137
"1994-01-31",142.25
"1994-02-07",148
"1994-02-14",147
"1994-02-21",144
"1994-02-28",145
"1994-03-07",137.75
"1994-03-14",140
"1994-03-21",144.25
"1994-03-28",145.25
"1994-04-11",160.5
"1994-04-18",164.5
"1994-04-25",168
"1994-05-02",162.5
"1994-05-09",168.25
"1994-05-16",171
"1994-05-23",174.75
"1994-05-30",174.25
"1994-06-06",180
"1994-06-13",177
"1994-06-20",181.5
"1994-06-27",182.75
"1994-07-04",178.5
"1994-07-11",177.5
"1994-07-18",181.25
"1994-07-25",187.5
"1994-08-01",205.5
"1994-08-08",208
"1994-08-22",193.5
"1994-08-29",180.5
"1994-09-05",174.25
"1994-09-12",178.5
"1994-09-19",166
"1994-09-26",161
"1994-10-03",164
"1994-10-10",167
"1994-10-17",164
"1994-10-24",180.5
"1994-11-07",172.5
"1994-11-14",166
"1994-11-21",165.5
"1994-11-28",161.5
"1994-12-05",148.5
"1994-12-12",158.5
"1994-12-19",149
"1995-01-02",159
"1995-01-09",159
"1995-01-16",156
"1995-01-23",157
"1995-01-30",154
"1995-02-06",156.25
"1995-02-13",166
"1995-02-20",169.5
"1995-02-27",171
"1995-03-06",168
"1995-03-13",165
"1995-03-20",167.25
"1995-03-27",176.5
"1995-04-03",180.5
"1995-04-10",187
"1995-04-24",193.5
"1995-05-02",199
"1995-05-08",199.5
"1995-05-15",199
"1995-05-22",203
"1995-05-29",200.5
"1995-06-06",197.5
"1995-06-12",195
"1995-06-19",193.5
"1995-06-26",173.5
"1995-07-03",171
"1995-07-10",165
"1995-07-17",162.75
"1995-07-24",156.75
"1995-07-31",165
"1995-08-07",171.75
"1995-08-21",169
"1995-08-28",170.5
"1995-09-04",173.5
"1995-09-11",174
"1995-09-18",175.5
"1995-09-25",172.5
"1995-10-02",165
"1995-10-09",161.5
"1995-10-16",162
"1995-10-23",161
"1995-10-30",166
"1995-11-06",177.5
"1995-11-13",176.75
"1995-11-20",178
"1995-11-27",173.5
"1995-12-04",164.5
"1995-12-11",166
"1995-12-18",165
"1996-01-08",173.5
"1996-01-15",159.5
"1996-01-22",159
"1996-01-29",158
"1996-02-05",162
"1996-02-12",163
"1996-02-19",165
"1996-02-26",176.5
"1996-03-04",175
"1996-03-11",177
"1996-03-18",190
"1996-03-25",195.5
"1996-04-01",196
"1996-04-15",220.5
"1996-04-22",211
"1996-04-29",228
"1996-05-06",227.5
"1996-05-13",232
"1996-05-20",225.5
"1996-05-28",207
"1996-06-03",187.5
"1996-06-10",189.75
"1996-06-17",196
"1996-06-24",189
"1996-07-01",195
"1996-07-08",204.5
"1996-07-15",206
"1996-07-22",197
"1996-07-29",194
"1996-08-05",198.5
"1996-08-19",207
"1996-08-26",207
"1996-09-02",215.75
"1996-09-09",216.5
"1996-09-16",209.5
"1996-09-23",199
"1996-09-30",209
"1996-10-07",213.5
"1996-10-14",227.5
"1996-10-21",237.5
"1996-10-28",230
"1996-11-04",227.5
"1996-11-11",227
"1996-11-18",218.5
"1996-11-25",210
"1996-12-02",214
"1996-12-09",221.5
"1996-12-16",216
"1997-01-06",220
"1997-01-13",219.5
"1997-01-20",214.5
"1997-01-27",216
"1997-02-03",218.5
"1997-02-10",207.25
"1997-02-17",207
"1997-02-24",200
"1997-03-03",201
"1997-03-10",207.5
"1997-03-17",209.5
"1997-03-24",212.5
"1997-04-07",191
"1997-04-14",193
"1997-04-21",191.5
"1997-04-28",195.5
"1997-05-05",194.5
"1997-05-12",198.75
"1997-05-19",207.5
"1997-05-26",211
"1997-06-02",207
"1997-06-09",190
"1997-06-16",191.5
"1997-06-23",186.5
"1997-06-30",185
"1997-07-07",184.75
"1997-07-14",186
"1997-07-28",201
"1997-08-04",226.5
"1997-08-11",215.5
"1997-08-18",225
"1997-08-25",226
"1997-09-01",211.5
"1997-09-08",216
"1997-09-15",213.75
"1997-09-22",207.5
"1997-09-29",197
"1997-10-06",202
"1997-10-13",196.5
"1997-10-20",197.5
"1997-10-27",200
"1997-11-03",196.5
"1997-11-10",195
"1997-11-17",193
"1997-11-24",186.75
"1997-12-01",181.25
"1997-12-08",186
"1997-12-15",175
"1998-01-05",167.75
"1998-01-12",164.5
"1998-01-19",168
"1998-01-26",158.5
"1998-02-02",164
"1998-02-09",162.5
"1998-02-16",163.5
"1998-02-23",160
"1998-03-02",162
"1998-03-09",146
"1998-03-16",132
"1998-03-23",152
"1998-03-30",160.5
"1998-04-06",153
"1998-04-20",159
"1998-04-27",155.75
"1998-05-04",161.5
"1998-05-11",160
"1998-05-18",157.5
"1998-05-25",152
"1998-06-01",154.5
"1998-06-08",153.5
"1998-06-15",146
"1998-06-22",153
"1998-06-29",150
"1998-07-06",161.25
"1998-07-13",158.5
"1998-07-20",154.75
"1998-07-27",145
"1998-08-03",142.25
"1998-08-10",145
"1998-08-17",143
"1998-08-24",148
"1998-08-31",137
"1998-09-07",138.5
"1998-09-14",138
"1998-09-21",151.5
"1998-09-28",145
"1998-10-05",147
"1998-10-12",143
"1998-10-19",140.5
"1998-10-26",139.5
"1998-11-02",143.5
"1998-11-09",133
"1998-11-16",128.5
"1998-11-23",122.5
"1998-11-30",115.25
"1998-12-07",108.75
"1998-12-14",111
"1999-01-04",115.5
"1999-01-11",122
"1999-01-18",113
"1999-01-25",112
"1999-02-01",118.5
"1999-02-08",111.5
"1999-02-15",109
"1999-02-22",109.5
"1999-03-01",110
"1999-03-08",119
"1999-03-15",125
"1999-03-22",138
"1999-03-29",153.5
"1999-04-12",156
"1999-04-19",161.5
"1999-04-26",162
"1999-05-03",171
"1999-05-10",168
"1999-05-17",160.25
"1999-05-24",154.75
"1999-05-31",153
"1999-06-07",160
"1999-06-14",167
"1999-06-21",161.5
"1999-06-28",167.75
"1999-07-05",185.25
"1999-07-12",188.5
"1999-07-19",196
"1999-07-26",200
"1999-08-02",210.25
"1999-08-09",235
"1999-08-16",227
"1999-08-23",230
"1999-08-30",210.5
"1999-09-06",219
"1999-09-13",229
"1999-09-20",225
"1999-09-27",237.5
"1999-10-04",240
"1999-10-11",214
"1999-10-18",224.5
"1999-10-25",233
"1999-11-02",214
"1999-11-08",217.25
"1999-11-15",238
"1999-11-22",252
"1999-11-29",251.5
"1999-12-06",252
"1999-12-13",242.5
"2000-01-03",234.75
"2000-01-10",221.25
"2000-01-17",249
"2000-01-24",254
"2000-01-31",244
"2000-02-07",260.25
"2000-02-14",274
"2000-02-21",282.25
"2000-02-28",296
"2000-03-06",317
"2000-03-13",312.5
"2000-03-20",303.5
"2000-03-27",305
"2000-04-03",306.5
"2000-04-10",277.5
"2000-04-17",267.5
"2000-04-24",288
"2000-05-01",290
"2000-05-08",296
"2000-05-15",319.5
"2000-05-22",363.5
"2000-05-29",368
"2000-06-05",369.5
"2000-06-12",375
"2000-06-19",378
"2000-06-26",397
"2000-07-03",360
"2000-07-10",344
"2000-07-17",328
"2000-07-24",281.5
"2000-07-31",300
"2000-08-07",313.75
"2000-08-14",305
"2000-08-21",304
"2000-08-28",309
"2000-09-04",329.5
"2000-09-11",327
"2000-09-18",323.5
"2000-09-25",301.5
"2000-10-02",291
"2000-10-09",285.5
"2000-10-16",326.5
"2000-10-23",336
"2000-11-06",277
"2000-11-13",284
"2000-11-20",297
"2000-11-27",290
"2000-12-04",262.25
"2000-12-11",226
"2000-12-18",228
"2001-01-08",248
"2001-01-15",264.75
"2001-01-22",261.25
"2001-01-29",266.5
"2001-02-05",295
"2001-02-12",285.5
"2001-02-20",276
"2001-02-27",265.75
"2001-03-05",261
"2001-03-12",263
"2001-03-19",260.5
"2001-03-26",276.5
"2001-04-02",279
"2001-04-09",299.5
"2001-04-23",335
"2001-04-30",346.5
"2001-05-07",357.5
"2001-05-14",362.5
"2001-05-21",349
"2001-05-28",318
"2001-06-04",299
"2001-06-11",289.5
"2001-06-18",267.25
"2001-06-25",251.5
"2001-07-02",245.75
"2001-07-09",246
"2001-07-16",234
"2001-07-23",227
"2001-07-30",236.5
"2001-08-06",239.5
"2001-08-13",253.5
"2001-08-20",234
"2001-08-27",257.5
"2001-09-03",277
"2001-09-10",276.5
"2001-09-17",281.5
"2001-09-24",226.5
"2001-10-01",226.5
"2001-10-08",204
"2001-10-15",195
"2001-10-22",190
"2001-10-29",190.5
"2001-11-05",174
"2001-11-12",192.5
"2001-11-19",153.75
"2001-11-26",167
"2001-12-03",169.5
"2001-12-10",161
"2001-12-17",156
"2002-01-07",197.75
"2002-01-14",175.5
"2002-01-21",169.5
"2002-01-28",186
"2002-02-04",185.5
"2002-02-11",179.5
"2002-02-18",183
"2002-02-25",171
"2002-03-04",187
"2002-03-11",214.5
"2002-03-18",226.5
"2002-03-25",224.5
"2002-04-08",273
"2002-04-15",241.25
"2002-04-22",251.5
"2002-04-29",254
"2002-05-06",240.5
"2002-05-13",244.5
"2002-05-20",261
"2002-05-27",249.25
"2002-06-03",237
"2002-06-10",234.75
"2002-06-17",252.5
"2002-06-24",251.5
"2002-07-01",259.5
"2002-07-08",256
"2002-07-15",263
"2002-07-22",262.5
"2002-07-29",262.5
"2002-08-05",265.5
"2002-08-12",260.25
"2002-08-19",265
"2002-08-26",265
"2002-09-02",264.5
"2002-09-09",288.5
"2002-09-16",275.5
"2002-09-23",280
"2002-09-30",276.5
"2002-10-07",277.75
"2002-10-14",282.5
"2002-10-21",275.5
"2002-10-28",256.5
"2002-11-04",252
"2002-11-11",237.5
"2002-11-18",224
"2002-11-25",240
"2002-12-02",243
"2002-12-09",245.5
"2002-12-16",271.5
"2003-01-06",293.5
"2003-01-13",294
"2003-01-20",306
"2003-01-27",305.5
"2003-02-03",318
"2003-02-10",348
"2003-02-17",335
"2003-02-24",325.5
"2003-03-03",326.25
"2003-03-10",341
"2003-03-17",307
"2003-03-24",268
"2003-03-31",306.5
"2003-04-07",301
"2003-04-14",274
"2003-04-28",279.5
"2003-05-05",260
"2003-05-12",270
"2003-05-19",279.5
"2003-05-26",280
"2003-06-02",288
"2003-06-09",293
"2003-06-16",274.25
"2003-06-23",276.75
"2003-06-30",289.75
"2003-07-07",297.5
"2003-07-14",310.25
"2003-07-21",306
"2003-07-28",292.25
"2003-08-04",309.5
"2003-08-18",334
"2003-08-25",331.5
"2003-09-01",319
"2003-09-08",317
"2003-09-15",285.5
"2003-09-22",260.5
"2003-09-29",274
"2003-10-06",284.5
"2003-10-13",302.5
"2003-10-20",281.5
"2003-10-27",284
"2003-11-03",277
"2003-11-10",279.75
"2003-11-17",291.5
"2003-11-24",283.75
"2003-12-01",277.5
"2003-12-08",289.75
"2003-12-15",293.75
"2004-01-05",311
"2004-01-12",334.75
"2004-01-19",324.5
"2004-01-26",319.75
"2004-02-02",315.25
"2004-02-09",310.5
"2004-02-16",333.5
"2004-02-23",330.625
"2004-03-01",357.25
"2004-03-08",355.25
"2004-03-15",345
"2004-03-22",348.5
"2004-03-29",358
"2004-04-05",354.25
"2004-04-13",383.75
"2004-04-19",391
"2004-04-26",400.25
"2004-05-03",440.75
"2004-05-10",450
"2004-05-17",462.25
"2004-05-24",457.5
"2004-05-31",422
"2004-06-07",382.5
"2004-06-14",381.25
"2004-06-21",391.75
"2004-06-28",378.5
"2004-07-05",432
"2004-07-12",474.25
"2004-07-19",449
"2004-07-26",423
"2004-08-02",441.75
"2004-08-09",428.5
"2004-08-16",450
"2004-08-23",444
"2004-08-30",408.5
"2004-09-06",413
"2004-09-13",414.75
"2004-09-20",431.75
"2004-09-27",455.5
"2004-10-04",465.5
"2004-10-11",485.5
"2004-10-18",454.25
"2004-10-25",479.75
"2004-11-01",446.75
"2004-11-08",431.5
"2004-11-15",407.5
"2004-11-22",434.75
"2004-11-29",439
"2004-12-06",369.5
"2004-12-13",356.75
"2004-12-20",361
"2005-01-03",351.75
"2005-01-10",396
"2005-01-17",410.75
"2005-01-24",423
"2005-01-31",427.25
"2005-02-07",398.75
"2005-02-14",426.25
"2005-02-21",418.75
"2005-02-28",438.75
"2005-03-07",460.5
"2005-03-14",451.25
"2005-03-21",498.25
"2005-04-04",570.75
"2005-04-11",494.25
"2005-04-18",495
"2005-04-25",555
"2005-05-02",507
"2005-05-09",480.25
"2005-05-16",461.75
"2005-05-23",468
"2005-05-30",482
"2005-06-06",510.5
"2005-06-13",512.5
"2005-06-20",549.5
"2005-06-27",564.5
"2005-07-04",556.75
"2005-07-11",566.25
"2005-07-18",575.25
"2005-07-25",596.5
"2005-08-01",614
"2005-08-08",620.5
"2005-08-22",637
"2005-08-29",651.25
"2005-09-05",771.5
"2005-09-12",649
"2005-09-19",674.5
"2005-09-26",671
"2005-10-03",711.5
"2005-10-10",604.5
"2005-10-17",589.25
"2005-10-24",543
"2005-11-07",521.75
"2005-11-14",499.25
"2005-11-21",497.5
"2005-11-28",492.5
"2005-12-05",524
"2005-12-12",534.25
"2005-12-19",496
