"","x"
"1994-01-03",140
"1994-01-10",143.25
"1994-01-17",150
"1994-01-24",139.5
"1994-01-31",143
"1994-02-07",142.75
"1994-02-14",140.75
"1994-02-21",138.75
"1994-02-28",140.75
"1994-03-07",137.75
"1994-03-14",138.25
"1994-03-21",140.75
"1994-03-28",139.25
"1994-04-11",147.5
"1994-04-18",153.25
"1994-04-25",153.25
"1994-05-02",149.25
"1994-05-09",153.75
"1994-05-16",151.25
"1994-05-23",152.75
"1994-05-30",150.75
"1994-06-06",150.25
"1994-06-13",146.75
"1994-06-20",156
"1994-06-27",153.75
"1994-07-04",152
"1994-07-11",149
"1994-07-18",151.25
"1994-07-25",151.25
"1994-08-01",163.75
"1994-08-08",153
"1994-08-22",146.25
"1994-08-29",150.25
"1994-09-05",148.75
"1994-09-12",151.75
"1994-09-19",147.75
"1994-09-26",151.75
"1994-10-03",154.25
"1994-10-10",157.25
"1994-10-17",148.75
"1994-10-24",150.25
"1994-11-07",152.5
"1994-11-14",152.25
"1994-11-21",148.25
"1994-11-28",149
"1994-12-05",139.25
"1994-12-12",139.25
"1994-12-19",138
"1995-01-02",145.25
"1995-01-09",142.75
"1995-01-16",139.5
"1995-01-23",141.75
"1995-01-30",142.25
"1995-02-06",145.5
"1995-02-13",142.75
"1995-02-20",142.25
"1995-02-27",146.25
"1995-03-06",146.25
"1995-03-13",144.75
"1995-03-20",146
"1995-03-27",152.75
"1995-04-03",154
"1995-04-10",160.75
"1995-04-24",159.75
"1995-05-02",158
"1995-05-08",159
"1995-05-15",152.25
"1995-05-22",159.75
"1995-05-29",160.5
"1995-06-06",155.25
"1995-06-12",154.75
"1995-06-19",152.5
"1995-06-26",147.5
"1995-07-03",149
"1995-07-10",148
"1995-07-17",147
"1995-07-24",147
"1995-07-31",148.75
"1995-08-07",151
"1995-08-21",153.75
"1995-08-28",155
"1995-09-04",159
"1995-09-11",159.75
"1995-09-18",158.75
"1995-09-25",153.75
"1995-10-02",150.75
"1995-10-09",147.5
"1995-10-16",147
"1995-10-23",145.75
"1995-10-30",150.75
"1995-11-06",155.25
"1995-11-13",154.75
"1995-11-20",157
"1995-11-27",157.25
"1995-12-04",160.25
"1995-12-11",169.5
"1995-12-18",170.25
"1996-01-08",182.25
"1996-01-15",161.5
"1996-01-22",158.75
"1996-01-29",159.5
"1996-02-05",172
"1996-02-12",183.25
"1996-02-19",185.75
"1996-02-26",191
"1996-03-04",175.5
"1996-03-11",183.75
"1996-03-18",183.5
"1996-03-25",193.5
"1996-04-01",190.5
"1996-04-15",190.5
"1996-04-22",174
"1996-04-29",173.5
"1996-05-06",166.5
"1996-05-13",169.5
"1996-05-20",161.5
"1996-05-28",169.5
"1996-06-03",167.25
"1996-06-10",162
"1996-06-17",166.5
"1996-06-24",163
"1996-07-01",173.75
"1996-07-08",180
"1996-07-15",180.75
"1996-07-22",182.25
"1996-07-29",176.75
"1996-08-05",183.5
"1996-08-19",188.25
"1996-08-26",191.5
"1996-09-02",206
"1996-09-09",223
"1996-09-16",223
"1996-09-23",225
"1996-09-30",240
"1996-10-07",253.25
"1996-10-14",238.5
"1996-10-21",237.5
"1996-10-28",226.5
"1996-11-04",210.25
"1996-11-11",223.25
"1996-11-18",221.75
"1996-11-25",222
"1996-12-02",221.5
"1996-12-09",218.25
"1996-12-16",219
"1997-01-06",231.75
"1997-01-13",230.75
"1997-01-20",217.25
"1997-01-27",203
"1997-02-03",205.5
"1997-02-10",187.25
"1997-02-17",180.5
"1997-02-24",170.5
"1997-03-03",160.5
"1997-03-10",167
"1997-03-17",170.25
"1997-03-24",168.5
"1997-04-07",162.5
"1997-04-14",165
"1997-04-21",165
"1997-04-28",165.5
"1997-05-05",167
"1997-05-12",173
"1997-05-19",179
"1997-05-26",178.75
"1997-06-02",173.75
"1997-06-09",161.75
"1997-06-16",161.5
"1997-06-23",159.75
"1997-06-30",165.75
"1997-07-07",163.25
"1997-07-14",163.75
"1997-07-28",168
"1997-08-04",173.25
