"","x"
"1994-01-10",152.5
"1994-01-17",138
"1994-01-24",129.5
"1994-01-31",129.5
"1994-02-07",137
"1994-02-14",138.5
"1994-02-21",149
"1994-02-28",178
"1994-03-07",175
"1994-03-14",181.5
"1994-03-21",171.5
"1994-03-28",171
"1994-04-11",148.5
"1994-04-18",142
"1994-04-25",150.5
"1994-05-02",153.5
"1994-05-09",143.5
"1994-05-16",133.5
"1994-05-23",117.5
"1994-05-30",117.5
"1994-06-06",117.5
"1994-06-13",121
"1994-06-20",125
"1994-06-27",128
"1994-07-04",130
"1994-07-11",129.5
"1994-07-18",130
"1994-07-25",129.5
"1994-08-01",128
"1994-08-08",128
"1994-08-22",125.5
"1994-08-29",126
"1994-09-05",130
"1994-09-12",153
"1994-09-19",152
"1994-09-26",148
"1994-10-03",148.5
"1994-10-10",162.5
"1994-10-17",163.5
"1994-10-24",163.5
"1994-11-07",179.5
"1994-11-14",179
"1994-11-21",172
"1994-11-28",172.5
"1994-12-05",174
"1994-12-12",168
"1994-12-19",171
"1995-01-02",195
"1995-01-09",221.5
"1995-01-16",245
"1995-01-23",273
"1995-01-30",294.5
"1995-02-06",305.5
"1995-02-13",292.5
"1995-02-20",284.5
"1995-02-27",237.5
"1995-03-06",188.5
"1995-03-13",165
"1995-03-20",167
"1995-03-27",178
"1995-04-03",187.5
"1995-04-10",182.5
"1995-04-24",192
"1995-05-02",201.5
"1995-05-08",196.5
"1995-05-15",191.5
"1995-05-22",184
"1995-05-29",184.5
"1995-06-06",175
"1995-06-12",170
"1995-06-19",165
"1995-06-26",161
"1995-07-03",152
"1995-07-10",150
"1995-07-17",149
"1995-07-24",148.5
"1995-07-31",142.5
"1995-08-07",123.5
"1995-08-21",122
"1995-08-28",140
"1995-09-04",163.5
"1995-09-11",176
"1995-09-18",181.5
"1995-09-25",184
"1995-10-02",192.5
"1995-10-09",195.5
"1995-10-16",184.5
"1995-10-23",172.5
"1995-10-30",164
"1995-11-06",162.5
"1995-11-13",171.5
"1995-11-20",175.5
"1995-11-27",186
"1995-12-04",197.5
"1995-12-11",227
"1995-12-18",229.5
"1996-01-08",267.5
"1996-01-15",250
"1996-01-22",242.5
"1996-01-29",242.5
"1996-02-05",237
"1996-02-12",250.5
"1996-02-19",270
"1996-02-26",295
"1996-03-04",265
"1996-03-11",257.5
"1996-03-18",247.5
"1996-03-25",273.5
"1996-04-01",247.5
"1996-04-15",218
"1996-04-22",217.5
"1996-04-29",195
"1996-05-06",185
"1996-05-13",171.5
"1996-05-20",166.5
"1996-05-28",172.5
"1996-06-03",174
"1996-06-10",171
"1996-06-17",166
"1996-06-24",161
"1996-07-01",152.5
"1996-07-08",149
"1996-07-15",144.5
"1996-07-22",142.5
"1996-07-29",155
"1996-08-05",165
"1996-08-19",175
"1996-08-26",205
"1996-09-02",221.5
"1996-09-09",232.5
"1996-09-16",246
"1996-09-23",262.5
"1996-09-30",272.5
"1996-10-07",273
"1996-10-14",268.5
"1996-10-21",249.5
"1996-10-28",252.5
"1996-11-04",277.5
"1996-11-11",277.5
"1996-11-18",290
"1996-11-25",307.5
"1996-12-02",332.5
"1996-12-09",355
"1996-12-16",337
"1997-01-06",425
"1997-01-13",442.5
"1997-01-20",445
"1997-01-27",432.5
"1997-02-03",385
"1997-02-10",275
"1997-02-17",207.5
"1997-02-24",222.5
"1997-03-03",217.5
"1997-03-10",162.5
"1997-03-17",184
"1997-03-24",200.5
"1997-04-07",166
"1997-04-14",166
"1997-04-21",191.5
"1997-04-28",194
"1997-05-05",196.5
"1997-05-12",190
"1997-05-19",186.5
"1997-05-26",192.5
"1997-06-02",191
"1997-06-09",177.5
"1997-06-16",177.5
"1997-06-23",179.5
"1997-06-30",179.5
"1997-07-07",177.5
"1997-07-14",179
"1997-07-28",200
"1997-08-04",205
"1997-08-11",206
"1997-08-18",206
"1997-08-25",198
"1997-09-01",203.5
"1997-09-08",204
"1997-09-15",206
"1997-09-22",207.5
"1997-09-29",217
"1997-10-06",217.5
"1997-10-13",216
"1997-10-20",214.5
"1997-10-27",216
"1997-11-03",221
"1997-11-10",239.5
"1997-11-17",237
"1997-11-24",236.5
"1997-12-01",212.5
"1997-12-08",209.5
"1997-12-15",204.5
"1998-01-05",167.5
"1998-01-12",155
"1998-01-19",132.5
"1998-01-26",142.5
"1998-02-02",152
"1998-02-09",150.5
"1998-02-16",147.5
"1998-02-23",149.5
"1998-03-02",146.5
"1998-03-09",140.5
"1998-03-16",132.5
"1998-03-23",120.5
"1998-03-30",150
"1998-04-06",137.5
"1998-04-20",144.5
"1998-04-27",144.5
"1998-05-04",147
"1998-05-11",147.5
"1998-05-18",144.5
"1998-05-25",133
"1998-06-01",117.5
"1998-06-08",114.5
"1998-06-15",111.5
"1998-06-22",121.5
"1998-06-29",114
"1998-07-06",109
"1998-07-13",115
"1998-07-20",115.5
"1998-07-27",116.5
"1998-08-03",120.5
"1998-08-10",126
"1998-08-17",128
"1998-08-24",129
"1998-08-31",124
"1998-09-07",125
"1998-09-14",136
"1998-09-21",139
"1998-09-28",151
"1998-10-05",155
"1998-10-12",171.5
"1998-10-19",177
"1998-10-26",179
"1998-11-02",172.5
"1998-11-09",183.5
"1998-11-16",207
"1998-11-23",232.5
"1998-11-30",230
"1998-12-07",232.5
"1998-12-14",210
"1999-01-04",181.5
"1999-01-11",157.5
"1999-01-18",132.5
"1999-01-25",121.5
"1999-02-01",116.5
"1999-02-08",123
"1999-02-15",133.5
"1999-02-22",137
"1999-03-01",156
"1999-03-08",157.5
"1999-03-15",155.5
"1999-03-22",163.5
"1999-03-29",177
"1999-04-12",155.5
"1999-04-19",150.5
"1999-04-26",158.5
"1999-05-03",159
"1999-05-10",146.5
"1999-05-17",135
"1999-05-24",131
"1999-05-31",132.5
"1999-06-07",133.5
"1999-06-14",137.5
"1999-06-21",147.5
"1999-06-28",159.5
"1999-07-05",190
"1999-07-12",221.5
"1999-07-19",214.5
"1999-07-26",206.5
"1999-08-02",210
"1999-08-09",212.5
"1999-08-16",217.5
