"","x"
"1994-01-03",52.5
"1994-01-10",55.25
"1994-01-17",59.25
"1994-01-24",64.5
"1994-01-31",70.5
"1994-02-07",78
"1994-02-14",75.5
"1994-02-21",80.5
"1994-02-28",79
"1994-03-07",74.75
"1994-03-14",80
"1994-03-21",77.75
"1994-03-28",72.25
"1994-04-11",72
"1994-04-18",70.75
"1994-04-25",77
"1994-05-02",75.5
"1994-05-09",77.5
"1994-05-16",83.5
"1994-05-23",82.25
"1994-05-30",80
"1994-06-06",88
"1994-06-13",84
"1994-06-20",84.5
"1994-06-27",86.5
"1994-07-04",97
"1994-07-11",94.5
"1994-07-18",95
"1994-07-25",97
"1994-08-01",98.5
"1994-08-08",92.5
"1994-08-22",76.5
"1994-08-29",80
"1994-09-05",68.75
"1994-09-12",70.25
"1994-09-19",75
"1994-09-26",72.75
"1994-10-03",75
"1994-10-10",89.5
"1994-10-17",85
"1994-10-24",86
"1994-11-07",97.5
"1994-11-14",100.5
"1994-11-21",110.5
"1994-11-28",98
"1994-12-05",90.5
"1994-12-12",92
"1994-12-19",92.25
"1995-01-02",98.5
"1995-01-09",109.25
"1995-01-16",106.5
"1995-01-23",102
"1995-01-30",97
"1995-02-06",101.5
"1995-02-13",98.5
"1995-02-20",103.75
"1995-02-27",106.25
"1995-03-06",107
"1995-03-13",106
"1995-03-20",105
"1995-03-27",100.5
"1995-04-03",104
"1995-04-10",104
"1995-04-24",100.5
"1995-05-02",103
"1995-05-08",102.5
"1995-05-15",105.5
"1995-05-22",110
"1995-05-29",103.5
"1995-06-06",102
"1995-06-12",96
"1995-06-19",82.5
"1995-06-26",82.5
"1995-07-03",78.5
"1995-07-10",79.75
"1995-07-17",79.5
"1995-07-24",73.5
"1995-07-31",78
"1995-08-07",79.5
"1995-08-21",83
"1995-08-28",82
"1995-09-04",85
"1995-09-11",87.5
"1995-09-18",84.75
"1995-09-25",86.25
"1995-10-02",83.25
"1995-10-09",84.5
"1995-10-16",85.5
"1995-10-23",80.5
"1995-10-30",83
"1995-11-06",79.75
"1995-11-13",82.5
"1995-11-20",85.75
"1995-11-27",88.5
"1995-12-04",94.25
"1995-12-11",105.5
"1995-12-18",100
"1996-01-08",108.25
"1996-01-15",99.75
"1996-01-22",94.75
"1996-01-29",91.75
"1996-02-05",97.5
"1996-02-12",88.75
"1996-02-19",90.75
"1996-02-26",90
"1996-03-04",91.75
"1996-03-11",102.75
"1996-03-18",108
"1996-03-25",108
"1996-04-01",111.25
"1996-04-15",111.5
"1996-04-22",108.75
"1996-04-29",107.5
"1996-05-06",104.5
"1996-05-13",100
"1996-05-20",88.5
"1996-05-28",91.25
"1996-06-03",84.5
"1996-06-10",81
"1996-06-17",86.25
"1996-06-24",84.5
"1996-07-01",83.75
"1996-07-08",87
"1996-07-15",87.5
"1996-07-22",86.75
"1996-07-29",87
"1996-08-05",96.5
"1996-08-19",96
"1996-08-26",101.25
"1996-09-02",104
"1996-09-09",111
"1996-09-16",110.5
"1996-09-23",108
"1996-09-30",113
"1996-10-07",119.5
"1996-10-14",126
"1996-10-21",127.25
"1996-10-28",117
"1996-11-04",111.5
"1996-11-11",115.5
"1996-11-18",112.25
"1996-11-25",118.5
"1996-12-02",123.5
"1996-12-09",117
"1996-12-16",121.5
"1997-01-06",115.5
"1997-01-13",111.75
"1997-01-20",103
"1997-01-27",94.5
"1997-02-03",92.5
"1997-02-10",99.5
"1997-02-17",98.75
"1997-02-24",86.25
"1997-03-03",89
"1997-03-10",85
"1997-03-17",89
"1997-03-24",86.25
"1997-04-07",83
"1997-04-14",81.5
"1997-04-21",84
"1997-04-28",81.5
"1997-05-05",83
"1997-05-12",86
"1997-05-19",83
"1997-05-26",80.5
"1997-06-02",83
"1997-06-09",85.5
"1997-06-16",86
"1997-06-23",82.5
"1997-06-30",84
"1997-07-07",85.25
"1997-07-14",87
"1997-07-28",90
"1997-08-04",94.5
"1997-08-11",94
"1997-08-18",94.25
"1997-08-25",92
"1997-09-01",93.5
"1997-09-08",94.25
"1997-09-15",95.25
"1997-09-22",95.5
"1997-09-29",100
"1997-10-06",102.75
"1997-10-13",99.5
"1997-10-20",101.25
"1997-10-27",105.25
"1997-11-03",106.75
"1997-11-10",106.5
"1997-11-17",108.25
"1997-11-24",104
"1997-12-01",98
"1997-12-08",89.5
"1997-12-15",82.75
"1998-01-05",77
"1998-01-12",68.25
"1998-01-19",70.25
"1998-01-26",59.5
"1998-02-02",63.5
"1998-02-09",63.5
"1998-02-16",67
"1998-02-23",64.25
"1998-03-02",67
"1998-03-09",64.25
"1998-03-16",62
"1998-03-23",67
"1998-03-30",71.5
"1998-04-06",74
"1998-04-20",82.75
"1998-04-27",76.5
"1998-05-04",75.75
"1998-05-11",69
"1998-05-18",69.5
"1998-05-25",63.5
"1998-06-01",63.5
"1998-06-08",64.75
"1998-06-15",63.5
"1998-06-22",67
"1998-06-29",65
"1998-07-06",65
"1998-07-13",60.75
"1998-07-20",59.25
"1998-07-27",62.75
"1998-08-03",65
"1998-08-10",60.75
"1998-08-17",62
"1998-08-24",56
"1998-08-31",54
"1998-09-07",60.25
"1998-09-14",65.25
"1998-09-21",70.75
"1998-09-28",71
"1998-10-05",70
"1998-10-12",67.5
"1998-10-19",64.5
"1998-10-26",65.75
"1998-11-02",63.75
"1998-11-09",60.75
"1998-11-16",57
"1998-11-23",55.5
"1998-11-30",53.5
"1998-12-07",48.25
"1998-12-14",48
"1999-01-04",61
"1999-01-11",66.5
"1999-01-18",63.5
"1999-01-25",59.25
"1999-02-01",58.75
"1999-02-08",55
"1999-02-15",53
"1999-02-22",55.25
"1999-03-01",56.75
"1999-03-08",57.75
"1999-03-15",57.5
"1999-03-22",61.75
"1999-03-29",68
"1999-04-12",68.5
"1999-04-19",70.25
"1999-04-26",72
"1999-05-03",75.75
"1999-05-10",73.5
"1999-05-17",70.25
"1999-05-24",61
"1999-05-31",67.5
"1999-06-07",73
"1999-06-14",80.5
"1999-06-21",88.5
"1999-06-28",83
"1999-07-05",91
"1999-07-12",92
"1999-07-19",95
"1999-07-26",94
"1999-08-02",104
"1999-08-09",112
"1999-08-16",111.75
"1999-08-23",117
"1999-08-30",109
"1999-09-06",111
"1999-09-13",116.5
"1999-09-20",118
"1999-09-27",119.5
"1999-10-04",125
"1999-10-11",116.5
"1999-10-18",127.5
"1999-10-25",129
"1999-11-02",122
"1999-11-08",120.5
"1999-11-15",128.25
"1999-11-22",133.5
"1999-11-29",131.25
"1999-12-06",132
"1999-12-13",125.5
"2000-01-03",124.25
"2000-01-10",118.75
"2000-01-17",126.75
"2000-01-24",129
"2000-01-31",125.5
"2000-02-07",129.75
"2000-02-14",127.5
"2000-02-21",128
"2000-02-28",140.5
"2000-03-06",164.5
"2000-03-13",162.5
"2000-03-20",140
"2000-03-27",128
"2000-04-03",128.5
"2000-04-10",117
"2000-04-17",116.5
"2000-04-24",119
"2000-05-01",116.75
"2000-05-08",113
"2000-05-15",124
"2000-05-22",129
"2000-05-29",135.5
"2000-06-05",139
"2000-06-12",140
"2000-06-19",135.75
"2000-06-26",144.5
"2000-07-03",147.25
"2000-07-10",135.75
"2000-07-17",130.5
"2000-07-24",122.5
"2000-07-31",125.25
"2000-08-07",130.5
"2000-08-14",125
"2000-08-21",130
"2000-08-28",133.75
"2000-09-04",149.5
"2000-09-11",150
"2000-09-18",157.5
"2000-09-25",145
"2000-10-02",155.5
"2000-10-09",156
"2000-10-16",164
"2000-10-23",156
"2000-11-06",138.75
"2000-11-13",144.5
"2000-11-20",153
"2000-11-27",151
"2000-12-04",146.75
"2000-12-11",128.5
"2000-12-18",116.75
"2001-01-08",102
"2001-01-15",98
"2001-01-22",104.5
"2001-01-29",109
"2001-02-05",123
"2001-02-12",113.5
"2001-02-20",126
"2001-02-27",126.5
"2001-03-05",133.5
"2001-03-12",122
"2001-03-19",111.5
"2001-03-26",112.5
"2001-04-02",106
"2001-04-09",107.5
"2001-04-23",116.5
"2001-04-30",120.75
"2001-05-07",127
"2001-05-14",118
"2001-05-21",122.5
"2001-05-28",113.5
"2001-06-04",116.5
"2001-06-11",120.5
"2001-06-18",121
"2001-06-25",121.25
"2001-07-02",114.25
"2001-07-09",114.5
"2001-07-16",114
"2001-07-23",117.25
"2001-07-30",114
"2001-08-06",121.25
"2001-08-13",122
"2001-08-20",119
"2001-08-27",121.5
"2001-09-03",127.5
"2001-09-10",131.5
"2001-09-17",139
"2001-09-24",124
"2001-10-01",117
"2001-10-08",112
"2001-10-15",108.5
"2001-10-22",102.5
"2001-10-29",99.5
"2001-11-05",92.5
"2001-11-12",103.5
"2001-11-19",91.5
"2001-11-26",100.5
"2001-12-03",105.5
"2001-12-10",99
"2001-12-17",96
"2002-01-07",106
"2002-01-14",103.75
"2002-01-21",99
"2002-01-28",101.25
"2002-02-04",100
"2002-02-11",99.75
"2002-02-18",104.25
"2002-02-25",106
"2002-03-04",114.5
"2002-03-11",118
"2002-03-18",117.5
"2002-03-25",120.5
"2002-04-08",133
"2002-04-15",122.5
"2002-04-22",135
"2002-04-29",140.25
"2002-05-06",137.5
"2002-05-13",139.75
"2002-05-20",143.5
"2002-05-27",137.5
"2002-06-03",131
"2002-06-10",133
"2002-06-17",134
"2002-06-24",129.25
"2002-07-01",137.75
"2002-07-08",140
"2002-07-15",143.5
"2002-07-22",137.5
"2002-07-29",136.25
"2002-08-05",138.75
"2002-08-12",138.25
"2002-08-19",144.5
"2002-08-26",147.5
"2002-09-02",154.5
"2002-09-09",159.5
"2002-09-16",160.5
"2002-09-23",162.75
"2002-09-30",163.75
"2002-10-07",163.5
"2002-10-14",152
"2002-10-21",143.5
"2002-10-28",135
"2002-11-04",128.5
"2002-11-11",119.75
"2002-11-18",116
"2002-11-25",126.25
"2002-12-02",123
"2002-12-09",121.5
"2002-12-16",130
"2003-01-06",167
"2003-01-13",170
"2003-01-20",184.5
"2003-01-27",170.5
"2003-02-03",171
