"","x"
"1994-01-03",139.5
"1994-01-10",147
"1994-01-17",147
"1994-01-24",144.5
"1994-01-31",148.5
"1994-02-07",152.5
"1994-02-14",152.5
"1994-02-21",150
"1994-02-28",150
"1994-03-07",147
"1994-03-14",145
"1994-03-21",150
"1994-03-28",150
"1994-04-11",162
"1994-04-18",167
"1994-04-25",174
"1994-05-02",172
"1994-05-09",179
"1994-05-16",177
"1994-05-23",181
"1994-05-30",179
"1994-06-06",182
"1994-06-13",178.5
"1994-06-20",183
"1994-06-27",183
"1994-07-04",177.5
"1994-07-11",179.5
"1994-07-18",181.5
"1994-07-25",187.5
"1994-08-01",200.5
"1994-08-08",207.5
"1994-08-22",202.5
"1994-08-29",190.5
"1994-09-05",179.5
"1994-09-12",179.5
"1994-09-19",166.5
"1994-09-26",165.5
"1994-10-03",167.5
"1994-10-10",169.5
"1994-10-17",165.5
"1994-10-24",181.5
"1994-11-07",178
"1994-11-14",169
"1994-11-21",167
"1994-11-28",162
"1994-12-05",153
"1994-12-12",165
"1994-12-19",156
"1995-01-02",157.5
"1995-01-09",160.5
"1995-01-16",160.5
"1995-01-23",163.5
"1995-01-30",158.5
"1995-02-06",157.5
"1995-02-13",167.5
"1995-02-20",167.5
"1995-02-27",168.5
"1995-03-06",168.5
"1995-03-13",165.5
"1995-03-20",165.5
"1995-03-27",174
"1995-04-03",181
"1995-04-10",187
"1995-04-24",193
"1995-05-02",198
"1995-05-08",198
"1995-05-15",198
"1995-05-22",202
"1995-05-29",197.5
"1995-06-06",193.5
"1995-06-12",192.5
"1995-06-19",190.5
"1995-06-26",173.5
"1995-07-03",170.5
"1995-07-10",165.5
"1995-07-17",162.5
"1995-07-24",157.5
"1995-07-31",169.5
"1995-08-07",177.5
"1995-08-21",173
"1995-08-28",175
"1995-09-04",177
"1995-09-11",179
"1995-09-18",179
"1995-09-25",176
"1995-10-02",168
"1995-10-09",172.5
"1995-10-16",171.5
"1995-10-23",172.5
"1995-10-30",177.5
"1995-11-06",185.5
"1995-11-13",183.5
"1995-11-20",183.5
"1995-11-27",180.5
"1995-12-04",166.5
"1995-12-11",164
"1995-12-18",162
"1996-01-08",171
"1996-01-15",160.5
"1996-01-22",162.5
"1996-01-29",163
"1996-02-05",165
"1996-02-12",165
"1996-02-19",168
"1996-02-26",181
"1996-03-04",180.5
"1996-03-11",185.5
"1996-03-18",197.5
"1996-03-25",199.5
"1996-04-01",205.5
"1996-04-15",229
"1996-04-22",219.5
"1996-04-29",237.5
"1996-05-06",233.5
"1996-05-13",234
"1996-05-20",223
"1996-05-28",213.5
"1996-06-03",200.5
"1996-06-10",198
"1996-06-17",203.5
"1996-06-24",194.5
"1996-07-01",196.5
"1996-07-08",212.5
"1996-07-15",210.5
"1996-07-22",203
